dream_text,theme
"I was falling from a high building and woke up before hitting the ground.",anxiety
"I was late to an exam and couldn't find the classroom.",anxiety
"I missed my train.",anxiety
"I kept running but couldn't move fast enough.",anxiety
"I was drowning and couldn't breathe.",anxiety
"I felt trapped in a small room with no exit.",anxiety
"I was flying above cities, feeling free and joyful.",freedom
"I broke out of a locked cage and saw the sky.",freedom
"I was floating through clouds and laughing.",freedom
"I escaped a closed tunnel into bright sunlight.",freedom
"I was walking on water, feeling limitless.",freedom
"I found an old house full of books and felt nostalgic.",nostalgia
"I met my childhood friend again.",nostalgia
"I visited my old school.",nostalgia
"I smelled the same perfume from years ago.",nostalgia
"I was back in my childhood home.",nostalgia
"I was lost in a maze but calm and curious.",uncertainty
"I couldn’t find my way out of a strange town.",uncertainty
"I was walking through fog and didn’t know where I was going.",uncertainty
"I opened a door but didn’t know what was behind it.",uncertainty
"I was being chased and could not run fast enough.",fear
"I was lost in a dark forest.",fear
"I was chased by shadows.",fear
"I heard footsteps behind me but saw no one.",fear
"I was drowning in the ocean at night.",fear
"I overcame my fears and stood tall.",resilience
"A giant storm destroyed my house but I rebuilt it.",resilience
"I fell but got back up stronger.",resilience
"I faced a monster but it vanished when I stopped running.",resilience
"I finished a marathon after many obstacles.",resilience
"I was at a party with friends.",happy
"I was flying through the clouds.",happy
"I met everyone I loved in one place.",happy
"I laughed until I cried.",happy
"I was surrounded by people who cared for me.",happy
"I found treasure in my garden.",surprised
"I woke up in a strange place.",surprised
"I discovered a secret passage.",surprised
"I opened a box and it started glowing.",surprised
"I was given an unexpected gift.",surprised
